國文,英文,數學,社會,自然
12,10,13,13,7
11,6,11,7,15
13,12,11,10,12
7,7,10,11,10
6,12,10,15,8
12,10,8,6,7
12,9,11,14,6
10,8,11,6,7
15,12,9,9,13
9,13,9,8,8
10,7,11,8,13
13,11,11,11,9
11,9,8,10,10
15,12,9,9,15
7,7,14,8,10
8,9,12,12,15
10,6,6,15,15
7,7,11,8,15
8,12,11,14,10
12,9,7,6,13
11,14,13,7,10
7,7,10,10,6
15,11,13,8,10
15,7,12,6,8
8,10,14,12,12
9,11,13,6,15
6,6,15,11,9
12,9,15,6,10
14,11,10,6,6
12,14,12,11,13
7,8,7,13,14
9,9,15,12,12
13,9,9,6,8
12,6,12,13,10
6,12,7,7,8
8,6,8,11,7
6,6,7,13,9
12,13,12,10,15
14,14,10,9,6
15,13,6,8,9
12,11,11,6,7
7,11,10,7,13
14,15,9,9,14
8,9,11,13,6
6,12,9,15,11
10,11,7,8,10
10,8,6,9,6
15,10,11,15,9
15,12,6,12,13
9,13,9,8,10
8,11,12,10,11
8,13,12,10,13
15,7,7,14,9
6,8,12,11,15
8,11,10,14,8
12,11,8,7,15
14,14,15,14,6
14,10,13,11,6
9,6,6,15,10
10,9,12,12,10
15,10,8,7,10
14,10,6,14,8
14,8,12,9,12
14,12,15,12,12
6,10,12,14,7
14,13,7,9,9
15,9,6,13,15
10,6,9,11,15
9,15,10,14,11
11,13,9,9,14
7,6,6,10,6
11,14,9,10,12
6,12,14,12,13
7,15,10,11,11
8,13,6,10,8
8,15,11,14,14
12,7,13,13,14
9,12,11,6,9
7,7,12,8,12
6,10,9,14,6
10,8,15,12,13
8,8,14,8,15
12,11,15,6,6
10,8,13,15,7
14,13,12,7,9
14,8,15,6,11
12,15,15,7,8
7,13,12,12,10
7,11,9,13,14
8,6,14,11,12
14,7,13,10,13
13,7,15,9,10
10,13,13,14,8
11,9,11,6,14
9,12,9,13,10
7,15,14,14,12
13,15,9,15,9
15,15,11,11,7
7,9,12,10,14
11,11,11,15,9
